col0,col1,col2,col3,col4,col5,col6,col7
0.029169343,0.018142186,0.02500107,0.008189535,0.019071769,0.0020573733,0.008213576,0.0050151604
0.029178763,0.018148188,0.025001336,0.008189716,0.019076768,0.0020678344,0.008213718,0.005015345
0.029189754,0.018156134,0.025001552,0.0081898905,0.019079976,0.0020670504,0.008213765,0.0050153392
0.029230544,0.018165791,0.025002243,0.008190056,0.019089779,0.0020700346,0.008213929,0.0050153937
0.029324964,0.018188652,0.025003832,0.00819044,0.01911223,0.0020848524,0.008214302,0.005015653
0.029503318,0.01823223,0.025006862,0.008191178,0.019154333,0.0021193074,0.008215014,0.0050162496
0.02979998,0.018303433,0.025011849,0.008192383,0.019224092,0.0021815412,0.008216179,0.0050173188
0.030250652,0.018411823,0.025019392,0.008194199,0.019329758,0.0022806136,0.0082179345,0.0050190026
0.030892942,0.018566594,0.025030022,0.008196761,0.01948018,0.0024258883,0.008220396,0.005021451
0.03176299,0.01877623,0.025044408,0.008200236,0.01968382,0.0026260603,0.008223726,0.0050248126
0.032895274,0.01904986,0.025063084,0.008204772,0.01994873,0.0028897347,0.008228048,0.0050292267
0.034321837,0.019394139,0.02508648,0.008210436,0.020281967,0.003223851,0.008233444,0.0050347894
0.036068283,0.01981743,0.025115097,0.008217434,0.020690614,0.0036359937,0.008240055,0.005041644
0.03816056,0.02032339,0.025149258,0.00822575,0.021179432,0.0041301735,0.00824793,0.0050498266
0.040608447,0.02091723,0.025189186,0.008235505,0.021751951,0.0047108945,0.008257149,0.0050594145
0.04341954,0.02160646,0.025234835,0.00824683,0.022413623,0.0053841867,0.008267733,0.005070506
0.04660327,0.022372514,0.025286512,0.008259355,0.02315088,0.0061353007,0.008279566,0.0050828406
0.05014198,0.023235973,0.02534377,0.0082734795,0.023982298,0.0069819563,0.008292836,0.005096708
0.054021347,0.024179565,0.025406409,0.008288881,0.024889227,0.007907601,0.008307296,0.005111823
0.058227133,0.025204554,0.025474235,0.008305617,0.02587382,0.008912316,0.008322992,0.0051281997
0.06272622,0.026296582,0.025546592,0.008323379,0.026922418,0.00998318,0.008339666,0.005145586
0.06747899,0.027454652,0.02562282,0.0083421925,0.028037483,0.011120282,0.008357354,0.0051639983
0.07244409,0.028666226,0.025702294,0.008361879,0.02920167,0.012308755,0.008375798,0.0051831985
0.07758011,0.029915681,0.025784327,0.00838213,0.030400032,0.0135330595,0.008394757,0.005202913
0.082823455,0.031193005,0.02586789,0.0084028095,0.03162855,0.014786996,0.008414165,0.005223048
0.08812598,0.032484327,0.025952147,0.00842365,0.032869942,0.016054302,0.008433727,0.0052433237
0.09342948,0.03377665,0.026036289,0.008444506,0.034112383,0.017322516,0.008453298,0.0052635656
0.098676026,0.035054896,0.026119303,0.008465107,0.035340883,0.018576656,0.00847261,0.005283523
0.10380808,0.036304504,0.026200285,0.008485184,0.036541235,0.019802151,0.008491437,0.0053029503
0.10876932,0.03751469,0.026278386,0.008504593,0.037707448,0.020991076,0.0085097095,0.005321747
0.11350682,0.038670164,0.026352746,0.008523139,0.03880937,0.02211883,0.008526906,0.0053395196
0.11796285,0.03975364,0.026422534,0.008540441,0.03985355,0.02318203,0.008543196,0.0053562024
0.12209154,0.04076009,0.026486963,0.008556457,0.04082703,0.024171153,0.008558349,0.005371668
0.12585452,0.041679323,0.02654552,0.008571147,0.04169777,0.025062673,0.008571822,0.005385565
0.12919481,0.042488847,0.026597334,0.008583946,0.042483572,0.02585725,0.00858399,0.0053978697
0.13208015,0.043188192,0.026641868,0.008594969,0.04315806,0.026538705,0.008594361,0.0054083513
0.13447577,0.043762777,0.026678637,0.0086039165,0.04371777,0.027099365,0.0086029135,0.0054168846
0.13635024,0.044198994,0.026707284,0.00861057,0.044157036,0.027530102,0.008609603,0.0054233368
0.13767998,0.0444828,0.026727427,0.008614615,0.044467535,0.02782084,0.008614267,0.0054275314
0.13844436,0.04458642,0.026738958,0.008615447,0.044646557,0.02795974,0.008616928,0.005429253
0.1380984,0.044264082,0.026731962,0.008607225,0.044712584,0.027788864,0.008618363,0.0054251063
0.13724312,0.0439954,0.026716996,0.008601943,0.044531427,0.02751909,0.008615319,0.005420129
0.1356307,0.043589726,0.02669006,0.0085949395,0.04415273,0.027089885,0.008609028,0.005412857
0.13321991,0.04299621,0.026650695,0.008585008,0.043584403,0.026467655,0.008599768,0.0054025794
0.13004264,0.0422159,0.026599355,0.008572116,0.04283779,0.025660697,0.008587734,0.0053894203
0.12613598,0.041268058,0.026536481,0.008556583,0.04191768,0.024678705,0.008572927,0.0053735073
0.12154619,0.04015143,0.026462955,0.008538341,0.040839475,0.023533585,0.008555684,0.005355036
0.11632237,0.03888616,0.026379528,0.008517803,0.039611388,0.022238348,0.008536108,0.0053342213
0.110525645,0.0374821,0.026286919,0.008494974,0.03824979,0.020808771,0.008514394,0.005311266
0.10422684,0.035960514,0.026186612,0.008470409,0.036769796,0.019262865,0.008490908,0.0052865194
0.09750638,0.034346938,0.026079545,0.008444481,0.035186335,0.017616956,0.00846573,0.0052601807
0.090462275,0.0326222,0.02596741,0.008416396,0.033539593,0.015896188,0.008439756,0.0052325926
0.083208114,0.030885689,0.025851905,0.00838857,0.03183109,0.014139248,0.008412678,0.0052045276
0.075861335,0.029114837,0.025735,0.008360118,0.03010423,0.012363513,0.008385415,0.0051761516
0.06855613,0.027356923,0.025618859,0.008331965,0.02838562,0.010604771,0.008358344,0.0051480737
0.061436716,0.02564411,0.025505733,0.008304592,0.026710067,0.008897351,0.008332013,0.005120841
0.054651733,0.024013588,0.025397968,0.008278596,0.025111673,0.0072758836,0.008306934,0.0050950055
0.04835879,0.022504404,0.0252982,0.008254655,0.023627149,0.0057793637,0.008283719,0.0050712256
0.042713836,0.021150917,0.025208922,0.008233274,0.022293692,0.0044432445,0.008262957,0.005050069
0.03786885,0.019993503,0.025132615,0.008215151,0.021146256,0.0033041209,0.008245193,0.005032149
0.033969402,0.019066196,0.025071627,0.008200824,0.020219285,0.002395486,0.008230958,0.005018015
0.031147582,0.018400192,0.025028124,0.008190769,0.019543866,0.0017475127,0.008220755,0.0050081555
0.029519401,0.01802651,0.025003962,0.008185525,0.019147398,0.0013893197,0.008214992,0.005003065
0.029179696,0.0179625,0.02500061,0.008185274,0.019052017,0.0013394332,0.008214006,0.0050030127
0.030198395,0.018249316,0.025019238,0.008190938,0.019277614,0.001622458,0.00821806,0.00500845
0.032621976,0.018849907,0.02506058,0.008201448,0.01982828,0.0022246211,0.0082273735,0.005019027
0.03646017,0.019815257,0.025124561,0.008218025,0.020715367,0.0031759639,0.008241908,0.005035311
0.041697297,0.021108355,0.02521097,0.008239779,0.02192751,0.0044523166,0.008261618,0.005056809
0.048282575,0.022734253,0.025318712,0.008266895,0.023458736,0.0060512205,0.008286288,0.0050834646
0.056135908,0.024668513,0.025446586,0.008298965,0.025289362,0.00795062,0.008315682,0.005114884
0.06514568,0.026881848,0.025592435,0.008335412,0.02739295,0.010123512,0.00834929,0.0051505584
0.07517696,0.029340208,0.025754118,0.008375711,0.029737303,0.012536147,0.008386652,0.005189917
0.08606855,0.032005202,0.025928875,0.008419215,0.032286286,0.015152013,0.00842716,0.0052323285
0.09764384,0.034832146,0.0261137,0.0084651075,0.034997545,0.017927919,0.008470103,0.0052770386
0.10970847,0.03777412,0.026305538,0.008512725,0.037825998,0.020819223,0.008514804,0.005323347
0.12206716,0.040782265,0.026501194,0.008561211,0.04072483,0.023777917,0.0085605085,0.0053704553
0.1345207,0.04380877,0.026697522,0.008609801,0.04364807,0.026757859,0.0086064935,0.0054176254
0.14687409,0.0468069,0.026891433,0.0086577665,0.046549577,0.029713163,0.008652023,0.005464146
0.15894665,0.04973152,0.027080161,0.008704366,0.04938645,0.03260012,0.008696434,0.005509331
0.1705634,0.052542794,0.027260961,0.008748974,0.052117493,0.03537916,0.008739076,0.005552581
0.1815918,0.055207152,0.027431931,0.008791113,0.05471128,0.038016245,0.008779481,0.0055934153
0.19190027,0.057696473,0.02759115,0.008830384,0.05713797,0.040483683,0.008817208,0.005631432
0.2013922,0.059985355,0.02773713,0.008866325,0.059372135,0.04275617,0.008851838,0.0056662536
0.20999137,0.062049214,0.027868848,0.008898562,0.06139165,0.0448116,0.008883079,0.0056975666
0.21767329,0.06390369,0.0279861,0.008927513,0.06320664,0.04665915,0.008911059,0.00572561
0.22440904,0.065515,0.028088491,0.008952486,0.06478929,0.048272505,0.008935421,0.005749937
0.23022175,0.066916995,0.028176576,0.008974272,0.06616486,0.049676515,0.008956514,0.0057710493
0.23513766,0.06809789,0.028250765,0.008992489,0.067325465,0.050864648,0.008974269,0.0057888
0.23920974,0.06907746,0.028312027,0.009007586,0.06828806,0.05185399,0.008988963,0.005803519
0.24251215,0.06987201,0.028361626,0.009019843,0.06907041,0.052659556,0.009000909,0.005815465
0.24513455,0.070502885,0.02840108,0.00902956,0.06969366,0.053301547,0.00901048,0.005824958
0.2471898,0.07100664,0.028432472,0.009037547,0.070190065,0.05381083,0.009018253,0.0058325795
0.24881727,0.07141528,0.028458355,0.009044327,0.07059316,0.054215312,0.00902491,0.005838818
0.2502128,0.07179379,0.02848274,0.00905137,0.07096129,0.054560173,0.009031655,0.005844595
0.25166988,0.072216816,0.028512051,0.0090603195,0.07137744,0.054899875,0.009040456,0.005851086
0.25369552,0.072878234,0.028558064,0.009075828,0.07200593,0.0553547,0.009055113,0.0058610193
0.25723845,0.07409256,0.028643552,0.009105504,0.07314765,0.05611465,0.009083047,0.0058789137
0.26424044,0.07657453,0.028816033,0.009166998,0.07543841,0.057597462,0.009139945,0.0059148734
0.27829337,0.08169296,0.029163836,0.009294094,0.08004191,0.060636356,0.009254708,0.0059891823
0.1170908,0.027614875,0.025310913,0.007996365,0.027610796,0.027538732,0.007996291,0.0051942896
